player_name,team_id,team_name,runs,strike_rate
"R Ravindra",103,"New Zealand",263,106.47
"SS Iyer",101,India,243,79.41
"BM Duckett",106,England,227,108.61
"JE Root",106,England,225,96.56
"V Kohli",101,India,218,82.88
"Ibrahim Zadran",105,Afghanistan,216,106.40
"TWM Latham",103,"New Zealand",205,87.23
"KS Williamson",103,"New Zealand",200,85.47
"HE van der Dussen",102,"South Africa",193,96.98
"Shubman Gill",101,India,188,75.50
