player_id,player_name,team_id
16,"AR Patel",101
2,"CV Varun",101
17,"Harshit Rana",101
19,"HH Pandya",101
61,"KL Rahul",101
8,"Kuldeep Yadav",101
3,"Mohammed Shami",101
15,"RA Jadeja",101
58,"RG Sharma",101
57,"Shubman Gill",101
49,"SS Iyer",101
52,"V Kohli",101
74,"AK Markram",102
65,"DA Miller",102
79,"H Klaasen",102
56,"HE van der Dussen",102
10,"K Rabada",102
25,"KA Maharaj",102
11,"L Ngidi",102
20,"M Jansen",102
9,"PWA Mulder",102
60,"RD Rickelton",102
66,"T Bavuma",102
91,"T de Zorzi",102
99,"T Stubbs",102
62,"DJ Mitchell",103
85,"DP Conway",103
35,"GD Phillips",103
27,"KA Jamieson",103
55,"KS Williamson",103
5,"MG Bracewell",103
1,"MJ Henry",103
4,"MJ Santner",103
40,"NG Smith",103
22,"R Ravindra",103
54,"TWM Latham",103
14,"W O Rourke",103
59,"WA Young",103
12,"A Zampa",104
64,"AT Carey",104
7,"BJ Dwarshuis",104
39,"C Connolly",104
34,"GJ Maxwell",104
63,"JP Inglis",104
28,"M Labuschagne",104
75,"MW Short",104
26,"NT Ellis",104
32,"SH Johnson",104
72,"SPD Smith",104
97,"T Sangha",104
71,"TM Head",104
6,"Azmatullah Omarzai",105
38,"Fazalhaq Farooqi",105
42,"Gulbadin Naib",105
81,"Hashmatullah Shahidi",105
53,"Ibrahim Zadran",105
18,"Mohammad Nabi",105
48,"Noor Ahmad",105
90,"Rahmanullah Gurbaz",105
69,"Rahmat Shah",105
46,"Rashid Khan",105
70,"Sediqullah Atal",105
24,"AU Rashid",106
43,"BA Carse",106
50,"BM Duckett",106
84,"HC Brook",106
45,"J Overton",106
13,"JC Archer",106
76,"JC Buttler",106
51,"JE Root",106
88,"JL Smith",106
23,"LS Livingstone",106
47,"MA Wood",106
86,"PD Salt",106
93,"S Mahmood",106
67,"Jaker Ali",107
95,Mahmudullah,107
89,"Mehidy Hasan Miraz",107
96,"Mushfiqur Rahim",107
33,"Mustafizur Rahman",107
41,"Nahid Rana",107
77,"Najmul Hossain Shanto",107
21,"Rishad Hossain",107
98,"Soumya Sarkar",107
83,"Tanzid Hasan",107
100,"Tanzim Hasan Sakib",107
29,"Taskin Ahmed",107
68,"Towhid Hridoy",107
30,"Abrar Ahmed",108
80,"Agha Salman",108
73,"Babar Azam",108
87,"Fakhar Zaman",108
36,"Haris Rauf",108
92,Imam-ul-Haq,108
44,"Khushdil Shah",108
82,"Mohammad Rizwan",108
31,"Naseem Shah",108
78,"Saud Shakeel",108
37,"Shaheen Shah Afridi",108
94,"Tayyab Tahir",108
