player_name,team_id,team_name,wickets,economy
"MJ Henry",103,"New Zealand",10,5.32
"CV Varun",101,India,9,4.53
"Mohammed Shami",101,India,9,5.68
"MJ Santner",103,"New Zealand",9,4.80
"MG Bracewell",103,"New Zealand",8,4.10
"Azmatullah Omarzai",105,Afghanistan,7,6.72
"BJ Dwarshuis",104,Australia,7,5.84
"Kuldeep Yadav",101,India,7,4.79
"PWA Mulder",102,"South Africa",6,4.88
"K Rabada",102,"South Africa",6,5.80
